Habitat,Site,Canopy_cover,Ground_cover,Nearest_canopy_spp,Disturbance,Drought,Phorids,Notes,GPS_Easting,GPS_Northing,name,Acre,Total_ants,S_invicta_present,Solenopsis_invicta,Pheidole_floridana,Pheidole_tetra,Solenopsis_texana,Camponotus_texanus,Aphenogaster_texana,Brachymyermex,Crematogaster_laeviuscula,Forelius_mccooki,Forelius_pruinosis,Monomorium_minimum,Odontomachus_clarus,Paratrechina_terricola,Pheidole_bicarinata,Pheidole_dentata,Pheidole_lamia,Pheidole_metallescens,Pheidole_pelor,Pheilode_hyati,Pseudomyrmex_brunneus,Solenopsis_geminata,Atta_texana,Camponotus_sansabeaneus,Other_species,Pachycondyla_harpax
R,12,3,3,hackberry,low,2,0,NA,123,866,student_1,52,150,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,13,3,3,hackberry,low,2,0,yellow jackets,137,846,student_1,52,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,14,0,3,pecan,high,1,1,NA,115,833,student_1,52,400,1,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,15,0,2,pecan,high,1,1,NA,102,832,student_1,52,350,1,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,16,3,0,American Elm,low,1,0,NA,113,853,student_1,52,250,1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,1,2,1,Sugar Hackberry,high,2,NA,leafcutter mound,617328,3350857,student_2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,2,2,2,Ashe Juniper,high,2,NA,NA,617300,3350841,student_2,10,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,3,2,1,Ashe Juniper,high,1,NA,NA,617296,3350834,student_2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,4,2,1,Ashe Juniper,high,1,NA,leafcutter mound,617332,3350821,student_2,10,21,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P,5,2,2,Chinese Tallow,low,1,NA,NA,617306,3350819,student_2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
P,6,2,1,Ashe Juniper,high,1,NA,NA,617346,3350804,student_2,10,140,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,7,2,1,Ashe Juniper,high,1,NA,NA,617353,3350801,student_2,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
P,8,1,2,Ashe Juniper,high,1,1,NA,617362,3350839,student_2,10,87,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,9,2,1,Ashe Juniper,high,0,NA,NA,617344,3350831,student_2,10,200,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,10,2,2,Chinese Tallow,high,0,NA,NA,617342,3350843,student_2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,11,2,2,Chinese tallow,high,0,NA,NA,617820,3351190,student_2,10,276,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,12,2,1,Ashe Juniper,high,0,NA,NA,617812,3351184,student_2,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
P,13,2,2,Ashe Juniper,low,0,NA,NA,617325,3350826,student_2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P,14,2,2,Ashe Juniper,high,0,NA,NA,617809,3351181,student_2,10,40,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,15,3,1,Ashe Juniper,low,0,NA,NA,617766,3351148,student_2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
P,16,3,2,Sugar Hackberry,low,0,NA,NA,617820,3351190,student_2,10,51,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P,1,3,0,Cedar elm,high,1,0,NA,254,872,student_4,4,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
P,2,2,1,Cedar elm,high,1,0,wasps,252,882,student_4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,3,2,0,Sugar hackberry,high,1,0,NA,253,903,student_4,4,88,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,4,2,1,Sugar hackberry,high,1,0,NA,280,872,student_4,4,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,5,2,2,Ashe Juniper,high,2,0,NA,254,872,student_4,4,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
P,6,3,2,Cedar elm,low,1,0,NA,360,904,student_4,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
P,7,3,0,Cedar elm,low,0,0,NA,280,880,student_4,4,94,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,8,2,0,Ashe Juniper,high,0,0,leaf cutter mound,333,904,student_4,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0
P,9,3,0,Ashe Juniper,high,0,0,wasps,227,841,student_4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
P,10,2,1,Bald cypress,high,0,0,NA,228,810,student_4,4,121,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,11,2,0,Ashe Juniper,high,0,0,NA,226,820,student_4,4,180,1,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,12,2,2,Sugar hackberry,low,0,0,NA,224,832,student_4,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
P,13,3,0,Ashe Juniper,high,0,0,wasps,200,902,student_4,4,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,14,3,1,Cedar elm,high,2,0,NA,307,872,student_4,4,65,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,15,2,1,Pecan,high,1,1,NA,200,871,student_4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,16,2,2,Pecan,low,1,1,NA,227,872,student_4,4,48,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,1,1,1,Cedar Elm,high,2,0,N/A,617620.38,3351419.54,student_6,13,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,2,1,1,Oak (not sure what kind),low,2,0,N/A,617410.6,3350773.87,student_6,13,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,3,2,0,Ashe Juniper,low,1,0,N/A,617378.16,3350758.67,student_6,13,17,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,4,2,0,Ashe Juniper,low,1,0,N/A,617360.67,3350756.26,student_6,13,125,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,5,0,0,Ashe Juniper,high,2,0,N/A,617589.2,3351348.93,student_6,13,150,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,6,3,2,Ashe Juniper,low,1,0,N/A,617343.04,3350749.65,student_6,13,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0
P,7,1,0,Ashe Juniper,high,2,0,N/A,617361.23,3350829.64,student_6,13,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,8,3,1,Cedar Elm,low,1,0,N/A,617356.27,3350745.13,student_6,13,86,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,9,2,1,Ashe Juniper,low,1,0,N/A,617136.36,3351032.84,student_6,13,75,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,10,0,1,Oak,high,2,0,N/A,617372.32,3350800.83,student_6,13,150,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,11,1,2,Ashe Juniper,high,2,0,N/A,617388.93,3350802.9,student_6,13,26,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,12,2,1,Oak,low,1,0,N/A,617375.87,3350810.07,student_6,13,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,13,2,1,Ashe Juniper,high,2,0,N/A,617378.53,3350804.23,student_6,13,53,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,14,3,1,Cedar Elm,low,0,0,N/A,617364.59,3350794.32,student_6,13,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,15,1,2,Ashe Juniper,high,1,0,N/A,617358.66,3350773.75,student_6,13,30,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,16,3,1,Cedar Elm,low,0,0,N/A,617341.73,3350746.86,student_6,13,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,1,1,1,cedar elm,high,1,0,NA,617427.07,3350709.76,student_14,14,53,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,2,1,0,ashe juniper,high,1,0,NA,617433.17,3350714.48,student_14,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P,3,2,1,cedar elm,high,1,0,NA,617414.77,3350708.41,student_14,14,43,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,4,1,1,pecan,high,1,0,NA,617394.16,3350692.45,student_14,14,18,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,5,2,1,bald cypress,high,0,0,NA,617404.51,3350722.93,student_14,14,60,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,6,2,1,ashe juniper,low,0,0,NA,617407.09,3350733.49,student_14,14,65,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,7,2,1,ashe juniper,low,1,0,NA,617399.66,3350745.04,student_14,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,8,3,1,ashe juniper,low,1,0,NA,617401,3350727.66,student_14,14,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,9,1,1,ashe juniper,high,0,0,NA,617359.89,3350739.74,student_14,14,150,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,10,3,1,pecan,low,1,0,NA,617374.54,3350710.08,student_14,14,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,11,1,1,pecan,high,1,0,NA,617395.02,3350684.48,student_14,14,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,12,3,2,pecan,low,1,0,NA,617380.95,3350713.81,student_14,14,50,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,13,3,1,cottonwood,low,1,0,NA,617388.84,3350749.25,student_14,14,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,14,2,2,chinese tallow,low,0,0,NA,617406.94,3350720.96,student_14,14,7,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,15,3,1,ashe juniper,low,0,0,NA,617394.79,3350714.62,student_14,14,6,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,16,3,1,cedar elm,high,1,0,NA,617388.81,3350733.73,student_14,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,1,0,2,sugar hackberry,low,2,0,NA,NA,NA,student_3,19,375,1,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,2,2,3,cedar elm,low,0,0,NA,NA,NA,student_3,19,25,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,3,2,0,sugar hackberry,high,2,1,NA,NA,NA,student_3,19,50,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,4,0,2,sugar hackberry,low,0,0,NA,NA,NA,student_3,19,130,1,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,5,3,1,cedar elm,low,1,0,NA,NA,NA,student_3,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0
P,6,3,2,Ashe juniper,low,1,0,NA,NA,NA,student_3,19,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,7,1,1,cedar elm,high,0,0,NA,NA,NA,student_3,19,350,1,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,8,3,0,sugar hackberry,low,1,0,NA,NA,NA,student_3,19,125,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,9,2,1,cedar elm,low,1,0,NA,NA,NA,student_3,19,110,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,10,0,1,cedar elm,high,1,0,NA,NA,NA,student_3,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
P,11,2,3,sugar hackberry,low,0,0,NA,NA,NA,student_3,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
P,12,3,2,sugar hackberry,high,0,0,NA,NA,NA,student_3,19,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,13,3,3,sugar hackberry,low,0,0,NA,NA,NA,student_3,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
P,14,3,2,sugar hackberry,low,0,0,NA,NA,NA,student_3,19,150,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,15,1,3,sugar hackberry,high,3,0,NA,NA,NA,student_3,19,40,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,16,1,1,sugar hackberry,high,3,0,NA,NA,NA,student_3,19,275,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,1,3,1,hackberry,high,1,0,yellow jacket,NA,NA,student_5,34,60,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NA,2,3,1,hackberry,high,0,0,yellow jacket,NA,NA,student_5,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
NA,3,2,2,live oak,low,1,0,NA,NA,NA,student_5,34,300,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,4,2,1,hackberry,high,1,0,big ant,NA,NA,student_5,34,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,5,2,2,texas ash,low,1,0,yellow jacket,NA,NA,student_5,34,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
NA,6,1,2,ashe juniper,low,0,0,NA,NA,NA,student_5,34,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,7,3,0,ashe juniper,high,1,0,NA,NA,NA,student_5,34,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,8,0,2,ashe juniper,high,0,0,many,NA,NA,student_5,34,450,1,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,9,1,2,ashe juniper,high,0,0,few,NA,NA,student_5,34,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,10,0,1,ashe juniper,high,0,0,tiny ants,NA,NA,student_5,34,90,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,11,1,1,ashe juniper,low,1,0,NA,NA,NA,student_5,34,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,12,1,0,ashe juniper,low,0,0,yellow jackets,NA,NA,student_5,34,140,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,13,1,3,ashe juniper,low,1,0,little ants,NA,NA,student_5,34,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,14,0,0,ashe juniper,low,1,0,still,NA,NA,student_5,34,175,1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,15,1,1,ashe juniper,low,0,0,yellow jacket,NA,NA,student_5,34,200,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,16,1,2,ashe juniper,low,0,0,yellow jacket,NA,NA,student_5,34,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,1,2,2,hackberry,low,0,0,NA,617211,3350859,student_7,1,65,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,2,2,1,pecan,low,1,0,NA,617218,3350847,student_7,1,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P,3,2,2,bald cypress,low,0,0,NA,617226,3350831,student_7,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,4,1,2,pecan,low,0,0,NA,617238,3350813,student_7,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,5,2,1,hackberry,low,0,0,by water,617219,3350800,student_7,1,83,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,6,2,1,cottonwood,high,0,0,NA,617213,3350819,student_7,1,186,1,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,7,1,1,chinese tallow,high,2,0,NA,617206,3350828,student_7,1,49,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,8,2,1,hackberry,low,1,0,NA,617196,3350842,student_7,1,23,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,9,2,1,hackberry,low,1,0,NA,617177,3350840,student_7,1,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,10,2,0,paper mulberry,low,2,0,NA,617190,3350827,student_7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
P,11,1,1,hackberry,low,1,0,NA,617200,3350807,student_7,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,12,1,1,hackberry,low,1,0,NA,617209,3350797,student_7,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0
P,13,3,1,hackberry,low,1,0,NA,617193,3350790,student_7,1,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0
P,14,3,0,hackberry,low,1,0,NA,617183,3350802,student_7,1,45,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,15,3,0,hackberry,low,1,0,NA,617176,3350818,student_7,1,12,1,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,16,2,2,hackberry,low,2,0,NA,617165,3350832,student_7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
R,1,2,1,Red Mulberry,high,0,0,"Easting was 351
Suspect erroneous bc outlier",NA,691,student_8,53,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
R,2,2,2,Pecan,high,0,0,NA,146,770,student_8,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,3,3,1,Pecan,high,0,0,Dropped hotdog,133,788,student_8,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,4,3,1,Red Mulberry,high,0,0,NA,115,804,student_8,53,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,5,3,2,Sugar Hackberry,high,0,0,NA,129,808,student_8,53,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,6,1,2,Pecan,high,0,0,NA,141,795,student_8,53,120,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,7,2,2,Sugar Hackberry,high,0,1,NA,157,773,student_8,53,62,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,8,2,1,American Elm,high,0,0,NA,167,768,student_8,53,264,1,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,9,2,2,Sugar Hackberry,low,0,0,NA,150,814,student_8,53,99,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,10,3,0,Sugar Hackberry,high,0,0,NA,155,795,student_8,53,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
R,11,3,1,Sugar Hackberry,high,0,0,NA,165,785,student_8,53,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0
R,12,3,0,Paper Mulberry,low,0,0,NA,191,780,student_8,53,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
R,13,2,2,Sugar Hackberry,low,0,0,NA,154,827,student_8,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R,14,3,1,Pecan,high,0,0,NA,166,807,student_8,53,137,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,15,3,2,Sugar Hackberry,high,0,0,NA,182,800,student_8,53,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,16,2,2,Paper Mulberry,high,0,0,NA,187,779,student_8,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
R,1,2,2,sugar hackberry,high,2,0,wasp at hotdog,617485,3350902,student_9,55,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
